Wavelength(nm),Baseline,Boro125,Boro25,Boro5,Malico125,Malico25,Malico5,Tarta125,Tarta25,Tarta5
259.5,0.126628988,1.013661207,1.133802914,0.271280589,0.910638955,1.201799217,0.938317772,1.612585967,1.505502432,2.664363599
260,0.126755143,1.013488614,1.132129879,0.271221647,0.908274209,1.203305572,0.937648767,1.609551655,1.504230236,2.674102387
260.5,0.126934288,1.013256301,1.130471948,0.271319455,0.90576292,1.204659237,0.936918286,1.607630456,1.50260222,2.669614536
261,0.126911942,1.013660038,1.129486989,0.271524908,0.904387587,1.205240985,0.936441004,1.604333408,1.499201279,2.686591007
261.5,0.126977036,1.013614475,1.12787053,0.271589142,0.90210925,1.205687041,0.935922409,1.600632837,1.497388671,2.685509345
262,0.127064888,1.013517483,1.126543075,0.271629738,0.899614295,1.206220822,0.935624184,1.596950895,1.494808046,2.693562333
262.5,0.127150187,1.013672974,1.125117393,0.271659684,0.89728276,1.206872489,0.93539362,1.593304418,1.491938837,2.712737235
263,0.127229375,1.01418015,1.122819526,0.271654048,0.895247467,1.20766343,0.934934403,1.589713635,1.490217108,2.730910772
263.5,0.127321908,1.013766033,1.121245475,0.27170724,0.892792478,1.209461545,0.934555972,1.588082249,1.486832866,2.725412551
264,0.127318943,1.014079952,1.119892024,0.271843228,0.890877162,1.209975484,0.93442751,1.58331396,1.483605175,2.720060392
264.5,0.127344311,1.014263224,1.118170754,0.271950211,0.888715317,1.2102654,0.934097561,1.577921575,1.481667025,2.71463982
265,0.127434836,1.014204929,1.116373775,0.271994933,0.886327925,1.210429173,0.933742146,1.573872122,1.479052227,2.709133051
265.5,0.127580186,1.014123758,1.114845286,0.271990924,0.88390335,1.210374076,0.933642705,1.571757362,1.474220614,2.706927829
266,0.127682499,1.014683504,1.112711028,0.272052078,0.881110689,1.210537093,0.933587583,1.566092113,1.472900949,2.729219069
266.5,0.127688965,1.014929802,1.111430785,0.272248961,0.878831599,1.212050843,0.933882562,1.560631754,1.469858256,2.727186847
267,0.127717552,1.015102455,1.109752167,0.272339245,0.876654764,1.212990938,0.933836869,1.556429987,1.466778187,2.72179723
267.5,0.12775508,1.015121643,1.107856336,0.272353511,0.874317739,1.213473667,0.93380744,1.552125722,1.462889919,2.72844101
268,0.127780918,1.01509766,1.105919005,0.272369144,0.871702497,1.213742146,0.934020152,1.546571156,1.458234784,2.748492655
268.5,0.127833291,1.01593918,1.10315701,0.272432645,0.869043174,1.213089742,0.933615949,1.540807799,1.456910502,2.742818645
269,0.127831803,1.015787396,1.101143389,0.272512157,0.86606447,1.213642916,0.933576953,1.537054393,1.449826193,2.737234466
269.5,0.127813377,1.015793868,1.099354942,0.272560252,0.863144248,1.213684732,0.933702953,1.533623207,1.444043024,2.731825304
270,0.127827976,1.015744629,1.097351412,0.272602541,0.86016197,1.21354947,0.93351987,1.528558684,1.440935905,2.726494982
270.5,0.127898817,1.015615641,1.095166723,0.272665473,0.857080698,1.213384025,0.933048317,1.521712841,1.438984186,2.721231661
271,0.127994565,1.016077418,1.093779104,0.272761111,0.854141859,1.212474503,0.933367003,1.516586096,1.432147951,2.716245639
271.5,0.128044393,1.015899369,1.091514842,0.272816073,0.851501439,1.21306759,0.933542279,1.509914687,1.42756078,2.743549771
272,0.128012675,1.015502902,1.088841145,0.272880808,0.848652274,1.213166732,0.93357496,1.503583396,1.423424623,2.724741375
272.5,0.128031299,1.015527248,1.086487379,0.272878531,0.845513968,1.212526815,0.933606521,1.497363908,1.418568055,2.702951653
273,0.128113789,1.015826728,1.084527925,0.272823405,0.84217665,1.211639944,0.933802462,1.491181135,1.412741237,2.691633002
273.5,0.128110415,1.015240428,1.082178882,0.272853385,0.838911795,1.211803002,0.934346156,1.485303351,1.406830974,2.65730639
274,0.128070785,1.015635566,1.079295179,0.272966833,0.835788392,1.209829767,0.934161276,1.479910431,1.401349075,2.683894143
274.5,0.128153637,1.015701399,1.07669892,0.272957882,0.833108246,1.209080069,0.934067727,1.474490392,1.394602258,2.664889657
275,0.128174571,1.01515733,1.074687854,0.272920978,0.830226623,1.208858857,0.934158835,1.468260914,1.390685443,2.646716346
275.5,0.128102687,1.014388842,1.072756192,0.272918387,0.827224394,1.208356644,0.934316444,1.461855071,1.388184162,2.63593444
276,0.128045601,1.014277418,1.069858469,0.272975795,0.824724681,1.20676342,0.934266943,1.456927876,1.381382101,2.605161493
276.5,0.128149784,1.014098709,1.068532123,0.273018081,0.820888034,1.204170074,0.934248989,1.450270144,1.376818101,2.57645823
277,0.128079125,1.013781312,1.065748607,0.273134254,0.817931438,1.203868724,0.934686337,1.445387244,1.369327485,2.568520727
277.5,0.128090004,1.013649286,1.062931573,0.273128217,0.815025582,1.202771005,0.934773604,1.439080668,1.363267773,2.565985973
278,0.128166197,1.013478098,1.060068329,0.273038054,0.811955199,1.20057402,0.934577767,1.431712812,1.359088206,2.557160818
278.5,0.128132464,1.012702462,1.056295284,0.273038787,0.808845469,1.198548316,0.934672279,1.425723781,1.355047487,2.531442786
279,0.128029148,1.012727239,1.055764488,0.273182961,0.806319854,1.197748036,0.934937433,1.420174077,1.347320753,2.529304643
279.5,0.128023348,1.012656747,1.05396504,0.273082637,0.803488272,1.196281324,0.935180141,1.41577435,1.341306496,2.511341507
280,0.128070449,1.012600854,1.051444436,0.272963149,0.800540804,1.195117761,0.935491492,1.410331953,1.336739601,2.487825895
280.5,0.128127246,1.012627794,1.048695037,0.272931944,0.797547727,1.194191629,0.935881788,1.403387261,1.332821033,2.472237984
281,0.128140893,1.012740786,1.046191277,0.272880039,0.794321655,1.191107829,0.936193263,1.3979951,1.327404467,2.490907438
281.5,0.128014889,1.012356298,1.043636307,0.273015405,0.791948593,1.189351946,0.936249495,1.392717408,1.322150171,2.455062106
282,0.127959903,1.012368977,1.041427652,0.273133127,0.789080699,1.187778783,0.936597983,1.387481811,1.316876875,2.43830062
282.5,0.127968136,1.012678055,1.039201526,0.273124954,0.785899446,1.186186186,0.937129158,1.381658619,1.311626184,2.430055548
283,0.127999158,1.012967827,1.03655434,0.272938109,0.782848717,1.184508547,0.937588749,1.374839185,1.30644738,2.41112098
283.5,0.128047136,1.01243359,1.033930472,0.27290282,0.780506982,1.182710419,0.937378044,1.36957029,1.301132763,2.409045588
284,0.127997287,1.012406034,1.031103632,0.272860586,0.777665103,1.180877494,0.937670477,1.364289283,1.297246755,2.407016223
284.5,0.127903569,1.012495545,1.028693288,0.272835606,0.774990613,1.179174763,0.938463637,1.359857598,1.291924261,2.395750787
285,0.12782413,1.012599903,1.026500428,0.272808853,0.772541024,1.177190486,0.939262354,1.355368314,1.285856866,2.376440853
285.5,0.127838402,1.01276891,1.023721336,0.2727271,0.769988352,1.174015003,0.939088926,1.348472327,1.282298839,2.357782382
286,0.127780626,1.01234147,1.021691727,0.272821707,0.76704557,1.173557103,0.940212298,1.343357571,1.277264985,2.355539251
286.5,0.127745542,1.013013451,1.019258221,0.272720017,0.764343539,1.172251763,0.940652246,1.339421157,1.27332464,2.342245501
287,0.127720474,1.01350507,1.016693774,0.27273866,0.761694382,1.17062764,0.941094367,1.333813795,1.268429215,2.331629916
